Step 478: Action: [0.5174079], Reward: -1
Step 479: Action: [0.51813596], Reward: -1
Step 480: Action: [0.5189573], Reward: -1
Step 481: Action: [0.], Reward: 0.9642102564102564
Step 482: Action: [0.52159476], Reward: -1
Step 483: Action: [0.], Reward: 0.9538974358974359
Step 484: Action: [0.], Reward: 0.9807692307692307
Step 485: Action: [0.], Reward: 0.9672307692307692
Step 486: Action: [0.5201425], Reward: -1
Step 487: Action: [0.51738644], Reward: -1
Step 488: Action: [0.], Reward: -1
Step 489: Action: [0.], Reward: 0.978
Step 490: Action: [0.], Reward: 0.9287179487179487
Step 491: Action: [0.], Reward: 0.9512820512820512
Step 492: Action: [0.], Reward: 0.97
Step 493: Action: [0.5190409], Reward: -1
Step 494: Action: [0.], Reward: 0.9602564102564103
Step 495: Action: [0.], Reward: 0.948718
Step 496: Action: [0.], Reward: 0.976974358974359
Step 497: Action: [0.], Reward: 0.9657435897435898
Step 498: Action: [0.], Reward: 0.7438461538461538
Step 499: Action: [0.], Reward: 0.9705128205128205
Step 500: Action: [0.], Reward: 0.9735948717948718
Step 501: Action: [0.], Reward: 0.9551282051282052
Step 502: Action: [0.52097327], Reward: -1
Step 503: Action: [0.5196076], Reward: -1
Step 504: Action: [0.5191355], Reward: -1
Step 505: Action: [0.], Reward: -1
Step 506: Action: [0.], Reward: 0.9595384615384616
Step 507: Action: [0.], Reward: 0.9727435897435898
Step 508: Action: [0.], Reward: 0.9794923076923077
Step 509: Action: [0.], Reward: 0.9335897435897436
Step 510: Action: [0.52244186], Reward: -1
Step 511: Action: [0.], Reward: 0.9538461538461539
Step 512: Action: [0.], Reward: 0.9026153846153846
Step 513: Action: [0.51959145], Reward: -1
Step 514: Action: [0.], Reward: 0.9861538461538462
Step 515: Action: [0.], Reward: 0.9625769230769231
Step 516: Action: [0.], Reward: 0.9205128205128206
Step 517: Action: [0.], Reward: 0.9577435897435898
Step 518: Action: [0.], Reward: 0.9666717948717949
Step 519: Action: [0.], Reward: -1
Step 520: Action: [0.], Reward: 0.9569288205128205
Step 521: Action: [0.5196878], Reward: -1
Step 522: Action: [0.], Reward: 0.9615384615384616
Step 523: Action: [0.], Reward: 0.9871794871794872
Step 524: Action: [0.], Reward: 0.9831282051282051
Step 525: Action: [0.52025723], Reward: -1
Step 526: Action: [0.], Reward: 0.9923589743589744
Step 527: Action: [0.5197332], Reward: -1
Step 528: Action: [0.], Reward: 0.959076923076923
Step 529: Action: [0.], Reward: 0.959025641025641
Step 530: Action: [0.52028507], Reward: -1
Step 531: Action: [0.], Reward: 0.9876923076923076
Step 532: Action: [0.51908], Reward: -1
Step 533: Action: [0.], Reward: 0.9702615384615385
Step 534: Action: [0.], Reward: 0.9205128205128206
Step 535: Action: [0.], Reward: 0.9600512820512821
Step 536: Action: [0.51954746], Reward: 0.16349973434056997
Step 537: Action: [0.], Reward: 0.9935923076923077
Step 538: Action: [0.], Reward: 0.823076923076923
Step 539: Action: [0.], Reward: 0.9574358974358974
Step 540: Action: [0.], Reward: 0.989743641025641
Step 541: Action: [0.5199452], Reward: -1
Step 542: Action: [0.], Reward: 0.9564102564102565
Step 543: Action: [0.], Reward: 0.9589897435897436
Step 544: Action: [0.], Reward: 0.9821538461538462
Step 545: Action: [0.], Reward: 0.9725641025641025
Step 546: Action: [0.], Reward: 0.9744102564102564
Step 547: Action: [0.], Reward: 0.9676923076923077
Step 548: Action: [0.], Reward: 0.9539487179487179
Step 549: Action: [0.], Reward: 0.9705128205128205
Step 550: Action: [0.], Reward: 0.9333846153846154
Step 551: Action: [0.], Reward: 0.9810307692307693
Step 552: Action: [0.52101386], Reward: -1
Step 553: Action: [0.], Reward: 0.9865128205128205
Step 554: Action: [0.], Reward: 0.9841076923076923
Step 555: Action: [0.], Reward: 0.9284615384615384
Step 556: Action: [0.], Reward: 0.9546669230769231
Step 557: Action: [0.], Reward: 0.9641026153846154
Step 558: Action: [0.5191187], Reward: -1
Step 559: Action: [0.], Reward: 0.9912820512820513
Step 560: Action: [0.], Reward: 0.8871794871794871
Step 561: Action: [0.], Reward: 0.9641076923076923
Step 562: Action: [0.], Reward: 0.9820564102564102
Step 563: Action: [0.], Reward: 0.9853897435897436
Step 564: Action: [0.], Reward: 0.9959230769230769
Step 565: Action: [0.51909655], Reward: -1
Step 566: Action: [0.5226782], Reward: -1
Step 567: Action: [0.], Reward: -1
Step 568: Action: [0.], Reward: 0.9617948717948718
